Startup Name,Founded Year,Country,Industry,Funding Stage,Total Funding ($M),Number of Employees,Annual Revenue ($M),Valuation ($B),Success Score,Acquired?,IPO?,Customer Base (Millions),Tech Stack,Social Media Followers
Startup_5001,2000,UK,AI,Series B,4.479,35,8.6112,11.001,10,No,No,0.9565,"Java, Spring",20577
Startup_5002,2021,India,Logistics,Series B,1.375,13,2.4032,7.7345,3,No,No,0.696,"Python, AI",8932
Startup_5003,2018,France,Tech,Seed,2.0825,10,3.231,3.7958,5,No,No,0.4709,"Java, Spring",8688
Startup_5004,2017,Canada,Energy,Series B,4.4981,11,8.3594,24.4266,10,No,No,2.0291,"Node.js, React",18678
Startup_5005,2015,Brazil,Energy,Series A,4.4865,18,7.7987,12.2426,9,No,No,2.8808,"Java, Spring",28993
Startup_5006,2006,Brazil,Energy,Series C,3.4443,34,3.1087,10.6296,4,No,No,0.9835,"Node.js, React",25096
Startup_5007,2004,Germany,AI,Series C,4.302,39,8.4837,27.3671,10,No,No,2.2246,"Node.js, React",47066
Startup_5008,2009,Australia,AI,IPO,0.4894,41,1.323,3.4499,2,No,No,0.3799,"Java, Spring",18995
Startup_5009,2007,Canada,AI,Series B,4.3317,42,4.2267,12.6963,6,Yes,No,0.5777,"PHP, Laravel",18351
Startup_5010,2001,China,E-commerce,IPO,1.6371,50,1.84,2.2627,3,No,No,0.001,"Java, Spring",24149
Startup_5011,2009,Germany,Healthcare,Series A,0.9327,23,1.9538,6.9332,3,No,No,0.4147,"C++, ML",41405
Startup_5012,2017,India,E-commerce,Seed,1.2349,7,1.4802,4.842,2,No,No,0.7013,"C++, ML",9960
Startup_5013,2009,Australia,FoodTech,Seed,2.1189,39,1.5132,4.9593,2,No,No,0.6191,"PHP, Laravel",50000
Startup_5014,2014,Japan,Tech,Seed,1.2934,3,1.8238,4.9123,3,No,No,0.3206,"Node.js, React",49498
Startup_5015,2015,Brazil,Gaming,Series B,1.6368,12,2.4617,4.216,4,Yes,No,1.3111,"PHP, Laravel",25582
Startup_5016,2019,Brazil,Tech,Seed,0.7181,7,1.2788,4.0271,2,No,No,0.001,"C++, ML",32657
Startup_5017,2010,Japan,FinTech,Series B,1.5161,49,2.5569,4.8668,4,No,No,0.1824,"PHP, Laravel",13706
Startup_5018,2009,Canada,Healthcare,Seed,2.8828,26,7.663,17.0298,9,No,No,1.7475,"Java, Spring",17498
Startup_5019,2012,USA,EdTech,IPO,2.2372,33,4.71,6.7661,7,No,No,2.0047,"PHP, Laravel",38849
Startup_5020,2016,Japan,FoodTech,Series B,1.7663,37,3.0037,10.1724,4,No,No,1.901,"Node.js, React",50000
Startup_5021,2004,Canada,Tech,Seed,3.7449,48,6.2662,10.0704,8,No,No,2.4158,"Java, Spring",17531
Startup_5022,2017,Brazil,FoodTech,Series A,4.4729,15,10.3606,18.4116,10,No,No,6.2098,"Python, AI",18925
