firm_id,year,income,digital_finance,firm_size,employee_num,founder_edu,financing_difficulty,region_gdp,urban,high_tech
1,2010,15.72,0.575,2.89,96,4,0.331,7.06,1,1
1,2011,12.54,0.479,1.61,42,4,0.658,12.64,1,0
1,2012,13.74,0.597,2.86,124,4,0.354,10.4,0,0
1,2013,16.51,0.728,2.38,37,2,0.155,12.28,1,0
1,2014,13.71,0.465,2.85,79,4,0.58,12.44,1,0
1,2015,13.25,0.465,2.89,49,4,0.601,12.67,0,0
1,2016,14.5,0.737,3.3,176,2,0.33,8.7,1,0
1,2017,16.0,0.615,3.18,133,2,0.358,9.58,0,0
1,2018,14.15,0.43,3.17,57,3,0.596,8.78,1,0
1,2019,16.71,0.581,3.22,179,3,0.354,11.79,1,0
1,2020,14.88,0.43,2.65,165,2,0.737,10.67,1,0
1,2021,14.19,0.43,2.52,71,1,0.684,12.14,1,0
1,2022,15.14,0.536,2.94,147,2,0.572,12.23,1,0
1,2023,10.97,0.213,2.87,109,3,0.866,6.55,1,0
2,2010,10.4,0.241,2.35,18,2,0.811,12.7,1,0
2,2011,14.82,0.416,2.7,155,3,0.46,11.9,1,0
2,2012,11.59,0.348,2.48,128,2,0.715,9.26,1,0
2,2013,14.55,0.547,2.07,186,4,0.464,10.7,1,0
2,2014,13.79,0.364,3.15,124,4,0.763,9.75,1,0
2,2015,12.94,0.288,2.53,140,4,0.793,11.23,1,0
2,2016,17.46,0.72,3.52,186,3,0.335,9.26,0,0
2,2017,11.4,0.466,1.69,40,2,0.365,10.96,1,0
2,2018,11.91,0.51,2.22,132,3,0.481,10.13,1,0
2,2019,13.17,0.286,2.52,184,2,0.658,9.14,1,0
2,2020,13.9,0.418,3.07,138,4,0.607,10.38,1,0
2,2021,17.17,0.517,2.7,101,2,0.442,15.41,1,1
2,2022,13.65,0.327,2.66,160,3,0.645,8.63,1,1
2,2023,13.69,0.556,1.94,182,3,0.49,9.5,0,0
3,2010,11.84,0.41,1.92,170,4,0.547,8.66,1,0
3,2011,14.25,0.456,2.66,162,3,0.556,8.87,1,1
3,2012,13.54,0.41,1.82,85,3,0.438,11.63,1,0
3,2013,15.76,0.778,2.23,77,3,0.139,11.43,0,1
3,2014,14.85,0.498,2.75,186,3,0.568,9.99,1,1
3,2015,13.08,0.341,2.01,75,1,0.536,12.05,1,1
3,2016,14.43,0.623,3.3,50,4,0.501,11.59,0,0
3,2017,12.42,0.317,3.11,160,3,0.781,9.68,0,0
3,2018,11.56,0.531,1.71,149,1,0.442,6.93,0,0
3,2019,12.21,0.206,2.03,180,4,1.0,11.66,1,0
3,2020,10.24,0.301,1.36,176,3,0.824,10.34,0,0
3,2021,13.3,0.53,2.11,64,4,0.376,10.04,0,0
3,2022,13.07,0.611,2.88,64,4,0.464,9.07,1,0
3,2023,14.34,0.526,2.29,9,4,0.481,11.49,1,0
4,2010,14.04,0.483,2.73,139,1,0.44,10.7,0,0
4,2011,12.14,0.455,1.74,185,2,0.438,9.53,0,0
4,2012,13.33,0.278,2.9,149,4,0.821,7.55,1,0
4,2013,12.72,0.392,2.22,63,4,0.548,12.14,0,0
4,2014,13.19,0.431,2.51,13,3,0.559,11.21,0,0
4,2015,14.55,0.659,2.45,154,3,0.249,10.51,1,1
