Startup Name,Founded Year,Country,Industry,Funding Stage,Total Funding ($M),Number of Employees,Annual Revenue ($M),Valuation ($B),Success Score,Acquired?,IPO?,Customer Base (Millions),Tech Stack,Social Media Followers
Startup_1,2009,Canada,Healthcare,Series A,269.0,3047,104.0,46.11,5,No,No,43.0,"Java, Spring",4158814
Startup_2,2004,UK,Healthcare,IPO,40.0,630,431.0,33.04,1,No,Yes,64.0,"Node.js, React",4063014
Startup_3,2018,USA,Healthcare,Seed,399.0,2475,375.0,15.79,8,No,No,74.0,"PHP, Laravel",3449855
Startup_4,2014,France,Tech,Seed,404.0,1011,907.0,17.12,7,Yes,Yes,26.0,"Python, AI",630421
Startup_5,2006,Japan,Energy,Series C,419.0,3917,280.0,4.39,6,Yes,Yes,30.0,"Node.js, React",365956
Startup_6,2017,UK,FinTech,Series B,468.0,172,430.0,34.16,9,No,No,88.0,"Node.js, React",2691852
Startup_7,2014,China,Gaming,Series C,166.0,2614,548.0,16.55,7,Yes,No,88.0,"Node.js, React",2564422
Startup_8,2018,Australia,EdTech,Series B,261.0,747,73.0,0.17,9,No,Yes,62.0,"Node.js, React",4344319
Startup_9,2006,Canada,AI,Series B,172.0,4387,324.0,1.94,9,Yes,Yes,90.0,"C++, ML",2274371
Startup_10,2004,USA,E-commerce,Series A,113.0,873,925.0,11.22,8,No,No,63.0,"Java, Spring",3169624
Startup_11,2011,Brazil,Gaming,Series B,42.0,4233,12.0,38.93,6,Yes,No,21.0,"Java, Spring",3454684
Startup_12,2020,UK,Energy,Series A,346.0,4704,853.0,22.84,1,Yes,Yes,3.0,"Java, Spring",4915500
Startup_13,2002,France,EdTech,IPO,134.0,4347,752.0,36.99,2,Yes,No,75.0,"Node.js, React",3600172
Startup_14,2022,Canada,Gaming,Series A,71.0,1234,334.0,3.7,3,Yes,No,56.0,"Node.js, React",174818
Startup_15,2004,Australia,EdTech,Series B,290.0,2773,361.0,32.66,1,Yes,No,45.0,"Python, AI",39240
Startup_16,2017,India,Gaming,Series C,177.0,3585,576.0,28.47,5,Yes,Yes,37.0,"Node.js, React",2022069
Startup_17,2017,France,E-commerce,IPO,183.0,1968,95.0,27.29,5,Yes,No,33.0,"PHP, Laravel",828711
Startup_18,2010,India,FinTech,Series C,427.0,4362,668.0,32.54,9,Yes,No,2.0,"Node.js, React",2016476
Startup_19,2020,India,Energy,Series C,267.0,995,105.0,42.96,1,No,Yes,18.0,"Java, Spring",1292825
Startup_20,2008,Japan,Gaming,IPO,156.0,1307,834.0,19.75,7,No,No,71.0,"Python, AI",3548884
Startup_21,2001,Australia,FinTech,Series A,441.0,470,253.0,5.67,6,Yes,Yes,63.0,"Node.js, React",622784
Startup_22,2011,France,AI,Series C,344.0,1517,143.0,13.32,9,Yes,Yes,17.0,"PHP, Laravel",3013055
Startup_23,2016,UK,FinTech,Series C,173.0,4242,763.0,39.2,7,Yes,No,3.0,"C++, ML",4466664
Startup_24,2009,USA,AI,Seed,292.0,982,701.0,35.2,6,No,Yes,58.0,"PHP, Laravel",2009476
Startup_25,2001,Brazil,E-commerce,Seed,94.0,2614,858.0,13.86,2,No,No,67.0,"Python, AI",1892546
Startup_26,2019,Australia,Gaming,Seed,15.0,4449,390.0,17.82,9,No,Yes,64.0,"Node.js, React",3597210
Startup_27,2009,Australia,EdTech,Series B,281.0,929,148.0,16.18,4,Yes,No,31.0,"Python, AI",1931102
Startup_28,2007,China,AI,Series B,318.0,3707,145.0,40.77,7,No,Yes,58.0,"PHP, Laravel",4823603
Startup_29,2015,Germany,Gaming,Seed,54.0,3489,348.0,1.89,2,Yes,No,73.0,"Python, AI",1831303
Startup_30,2018,France,Energy,Seed,170.0,3377,96.0,49.77,7,Yes,No,25.0,"Python, AI",4378403
Startup_31,2007,Brazil,Gaming,Series A,243.0,3292,987.0,45.29,5,No,Yes,4.0,"Java, Spring",2578332
Startup_32,2016,Canada,FinTech,Series A,296.0,1705,118.0,38.13,2,No,No,1.0,"Node.js, React",2501035
Startup_33,2021,Germany,Energy,Series B,355.0,4799,792.0,31.14,4,No,Yes,73.0,"Node.js, React",1137140
Startup_34,2016,Australia,FinTech,Series B,309.0,396,347.0,22.09,8,No,Yes,93.0,"Python, AI",3776319
Startup_35,2009,Germany,EdTech,Series A,38.0,3543,734.0,22.36,5,No,No,40.0,"Java, Spring",591983
Startup_36,2010,Canada,E-commerce,Seed,251.0,3790,194.0,20.23,5,Yes,No,71.0,"Python, AI",3979306
Startup_37,2021,Australia,EdTech,Series A,262.0,1520,902.0,26.47,2,Yes,Yes,99.0,"C++, ML",1643315
Startup_38,2016,UK,EdTech,Series C,493.0,4514,874.0,43.55,5,Yes,Yes,80.0,"Node.js, React",2878660
Startup_39,2006,China,Tech,Series B,466.0,4013,205.0,27.11,3,Yes,No,64.0,"PHP, Laravel",1404970
Startup_40,2014,France,Gaming,Series C,309.0,935,966.0,38.49,5,Yes,No,57.0,"Node.js, React",1892366
Startup_41,2001,UK,Tech,Series C,85.0,3916,766.0,20.26,2,No,Yes,64.0,"PHP, Laravel",2386447
Startup_42,2002,China,Healthcare,Series A,495.0,86,188.0,37.09,4,Yes,No,93.0,"C++, ML",2098731
Startup_43,2001,Brazil,Energy,IPO,301.0,2200,877.0,19.29,3,No,No,61.0,"Node.js, React",3354095
Startup_44,2011,UK,Gaming,Series C,356.0,3943,476.0,1.36,4,Yes,Yes,65.0,"Node.js, React",991448
Startup_45,2011,Brazil,AI,Series B,321.0,2600,834.0,13.23,6,Yes,Yes,83.0,"Node.js, React",3439226
Startup_46,2020,Brazil,FinTech,Series C,86.0,1418,675.0,25.97,6,No,No,5.0,"Python, AI",4702950
Startup_47,2021,Japan,Energy,IPO,80.0,3422,625.0,25.69,5,Yes,No,1.0,"Java, Spring",406193
Startup_48,2015,Canada,Healthcare,Seed,462.0,14,955.0,20.06,7,No,No,59.0,"PHP, Laravel",495267
Startup_49,2017,Japan,Gaming,Series B,281.0,2016,715.0,38.01,9,No,No,38.0,"Python, AI",2197533
Startup_50,2015,USA,FoodTech,Series B,307.0,775,854.0,8.69,3,Yes,No,76.0,"Node.js, React",3468338
Startup_51,2009,Japan,FinTech,Series A,116.0,1514,298.0,31.8,3,No,No,7.0,"PHP, Laravel",1491326
Startup_52,2013,UK,Gaming,IPO,434.0,2714,632.0,8.1,5,Yes,No,40.0,"Node.js, React",4894200
Startup_53,2006,Japan,EdTech,IPO,127.0,895,267.0,40.45,7,Yes,Yes,19.0,"Node.js, React",3449428
Startup_54,2019,UK,Energy,IPO,328.0,1230,30.0,26.88,6,No,Yes,42.0,"PHP, Laravel",4656413
Startup_55,2002,Japan,FinTech,Seed,42.0,1272,532.0,30.48,1,No,Yes,62.0,"Python, AI",1553509
Startup_56,2004,Australia,Logistics,IPO,456.0,3426,948.0,15.82,9,Yes,No,80.0,"Node.js, React",1721293
Startup_57,2003,Japan,Gaming,Seed,113.0,546,897.0,40.3,7,No,No,40.0,"Python, AI",77085
Startup_58,2018,Brazil,Logistics,Series A,53.0,1557,3.0,12.92,3,No,No,65.0,"PHP, Laravel",3864746
Startup_59,2000,India,FoodTech,Series C,218.0,1968,913.0,10.88,1,No,No,98.0,"Java, Spring",4769265
Startup_60,2015,Brazil,Logistics,Series C,325.0,3077,755.0,32.09,9,No,Yes,6.0,"C++, ML",3527941
Startup_61,2011,Japan,E-commerce,Series B,484.0,2334,312.0,43.74,5,Yes,No,39.0,"Node.js, React",3695952
Startup_62,2013,India,Gaming,Series B,156.0,4838,154.0,44.17,9,No,Yes,25.0,"Python, AI",3959671
Startup_63,2011,USA,FinTech,Series A,119.0,4647,313.0,44.38,3,Yes,No,64.0,"Python, AI",86831
Startup_64,2018,UK,Tech,Series A,259.0,4376,647.0,2.24,6,Yes,No,96.0,"Node.js, React",2418208
Startup_65,2007,Brazil,Gaming,IPO,157.0,2333,241.0,40.23,2,Yes,No,60.0,"Java, Spring",4879626
Startup_66,2017,Australia,Logistics,Series A,86.0,1676,668.0,13.17,4,Yes,Yes,2.0,"Node.js, React",235387
Startup_67,2013,France,FoodTech,Series C,482.0,4873,506.0,25.53,5,No,Yes,14.0,"Python, AI",758925
Startup_68,2020,China,Logistics,Seed,424.0,1531,130.0,28.64,5,No,Yes,16.0,"C++, ML",1138753
Startup_69,2010,Germany,E-commerce,Series A,147.0,3371,308.0,28.29,5,No,No,6.0,"Python, AI",2304376
Startup_70,2013,France,Gaming,Series B,222.0,1639,597.0,19.06,6,No,Yes,15.0,"Java, Spring",2314471
Startup_71,2009,Brazil,FinTech,IPO,370.0,860,784.0,43.03,8,No,Yes,48.0,"Python, AI",1880741
Startup_72,2008,India,E-commerce,Series C,14.0,4705,340.0,6.57,5,Yes,Yes,80.0,"Node.js, React",2873936
Startup_73,2011,USA,E-commerce,Series B,455.0,168,612.0,9.67,6,No,Yes,11.0,"C++, ML",470816
Startup_74,2007,France,Healthcare,Series A,300.0,1471,599.0,1.85,8,No,No,20.0,"Node.js, React",4353758
Startup_75,2017,Japan,FoodTech,Seed,1.0,4353,738.0,41.18,2,Yes,Yes,64.0,"Python, AI",2104413
Startup_76,2000,Japan,E-commerce,Seed,62.0,2824,108.0,16.0,1,Yes,No,3.0,"PHP, Laravel",1996260
Startup_77,2012,Canada,EdTech,Series B,267.0,4643,919.0,3.76,1,Yes,No,12.0,"Java, Spring",3898124
Startup_78,2013,India,E-commerce,Seed,189.0,2927,229.0,44.39,4,Yes,Yes,24.0,"PHP, Laravel",3026552
Startup_79,2005,Brazil,Healthcare,Series A,438.0,1518,868.0,19.96,4,Yes,No,43.0,"Java, Spring",534264
Startup_80,2002,China,AI,Series C,113.0,428,554.0,27.5,6,No,Yes,56.0,"PHP, Laravel",2067354
Startup_81,2021,UK,FoodTech,IPO,218.0,2288,679.0,23.91,8,No,Yes,91.0,"Node.js, React",4152000
Startup_82,2005,China,E-commerce,Series A,96.0,4050,656.0,17.14,3,No,Yes,66.0,"Java, Spring",4080920
Startup_83,2016,Australia,Energy,Series C,113.0,2671,494.0,9.07,6,Yes,Yes,21.0,"C++, ML",3099819
Startup_84,2005,China,Energy,Series A,438.0,4725,838.0,46.66,6,Yes,No,12.0,"Java, Spring",1108667
Startup_85,2010,UK,Energy,Series B,228.0,4885,985.0,28.14,4,Yes,Yes,83.0,"C++, ML",1531764
Startup_86,2011,UK,AI,Series B,349.0,4395,494.0,0.41,3,No,Yes,44.0,"PHP, Laravel",3113439
Startup_87,2006,USA,Tech,Series C,479.0,3651,727.0,8.02,1,Yes,Yes,36.0,"Java, Spring",1288611
Startup_88,2020,India,Healthcare,IPO,139.0,1415,520.0,47.94,6,Yes,No,89.0,"Java, Spring",2389982
Startup_89,2000,Brazil,AI,Seed,257.0,3117,863.0,13.55,3,Yes,No,56.0,"Node.js, React",2955915
Startup_90,2012,France,Energy,IPO,496.0,1178,603.0,16.82,6,Yes,Yes,98.0,"Java, Spring",159923
Startup_91,2020,Brazil,Gaming,Seed,32.0,487,217.0,30.13,1,Yes,Yes,24.0,"Node.js, React",277526
Startup_92,2007,China,E-commerce,IPO,9.0,1066,791.0,47.26,5,Yes,Yes,84.0,"Node.js, React",1688520
Startup_93,2014,India,FinTech,Series B,67.0,2765,93.0,24.54,1,No,No,29.0,"PHP, Laravel",4932557
Startup_94,2008,Germany,Energy,Series A,81.0,979,329.0,38.65,6,No,Yes,42.0,"Java, Spring",2704138
Startup_95,2006,India,EdTech,Series B,293.0,4767,808.0,3.39,7,No,No,16.0,"Python, AI",2980031
Startup_96,2004,France,AI,IPO,112.0,2838,341.0,39.03,1,No,Yes,13.0,"PHP, Laravel",4741222
Startup_97,2009,USA,FinTech,Seed,72.0,894,811.0,32.73,3,Yes,Yes,79.0,"Java, Spring",11859
Startup_98,2020,Germany,FoodTech,Series C,340.0,2505,710.0,10.07,9,No,Yes,8.0,"Python, AI",1754075
Startup_99,2007,Germany,EdTech,Series C,420.0,4821,262.0,22.57,3,Yes,No,11.0,"Python, AI",1470291
Startup_100,2016,Brazil,EdTech,Seed,55.0,2035,476.0,39.48,7,No,Yes,71.0,"C++, ML",4283807
Startup_101,2007,USA,EdTech,Series B,165.0,4329,346.0,45.48,8,Yes,Yes,46.0,"PHP, Laravel",3754030
Startup_102,2000,China,FinTech,Series C,376.0,1018,924.0,9.17,7,Yes,Yes,7.0,"Python, AI",608616
Startup_103,2018,UK,Energy,Series A,110.0,4246,618.0,30.12,2,No,Yes,89.0,"Node.js, React",3331432
Startup_104,2015,China,Logistics,IPO,492.0,1064,29.0,11.6,9,No,Yes,93.0,"Node.js, React",3863345
Startup_105,2000,France,Logistics,Seed,306.0,4780,805.0,47.77,2,No,Yes,55.0,"Node.js, React",127563
Startup_106,2008,Japan,E-commerce,IPO,291.0,4908,707.0,38.82,7,Yes,Yes,94.0,"Node.js, React",4789305
Startup_107,2012,Japan,E-commerce,Seed,305.0,4485,352.0,11.13,7,No,No,65.0,"Python, AI",4787479
Startup_108,2011,Brazil,Tech,Series C,232.0,2772,92.0,47.42,2,No,Yes,28.0,"C++, ML",3373415
Startup_109,2007,Japan,Tech,IPO,15.0,737,50.0,33.3,3,No,Yes,56.0,"C++, ML",2255376
Startup_110,2022,USA,E-commerce,Series C,233.0,1152,999.0,14.27,2,No,No,3.0,"Python, AI",1469544
Startup_111,2002,USA,FinTech,Series B,455.0,4924,467.0,40.6,8,No,Yes,50.0,"Python, AI",3568628
Startup_112,2021,Canada,FinTech,Series B,407.0,4959,703.0,25.76,5,No,No,83.0,"Node.js, React",92066
Startup_113,2002,Germany,Logistics,Seed,292.0,3968,876.0,31.67,8,No,Yes,70.0,"Python, AI",3982687
Startup_114,2011,UK,Gaming,IPO,409.0,3815,591.0,18.04,3,No,No,70.0,"Java, Spring",1456937
Startup_115,2009,Brazil,Energy,Series A,282.0,693,601.0,16.2,8,No,Yes,61.0,"C++, ML",734824
Startup_116,2011,Australia,Healthcare,Seed,181.0,1238,58.0,0.53,9,No,Yes,86.0,"Node.js, React",3656662
Startup_117,2022,Brazil,Tech,Series A,83.0,921,278.0,46.23,5,No,No,59.0,"Python, AI",3778623
Startup_118,2011,Japan,AI,IPO,465.0,2947,144.0,43.92,7,No,Yes,57.0,"PHP, Laravel",4386676
Startup_119,2000,Japan,AI,Series A,60.0,1298,732.0,34.24,5,Yes,No,2.0,"C++, ML",2421331
Startup_120,2007,Australia,Energy,Series A,420.0,4674,691.0,49.01,4,Yes,No,33.0,"C++, ML",3276266
Startup_121,2008,Australia,Logistics,Series A,243.0,1172,634.0,8.77,1,Yes,Yes,80.0,"Java, Spring",385753
Startup_122,2022,Australia,FinTech,Series A,455.0,3074,14.0,12.98,3,No,No,95.0,"PHP, Laravel",3334795
Startup_123,2014,Canada,AI,Seed,267.0,4484,594.0,19.62,8,No,Yes,99.0,"PHP, Laravel",2044039
Startup_124,2010,China,FoodTech,Series C,285.0,3333,859.0,16.56,5,No,No,1.0,"Java, Spring",790423
Startup_125,2003,Japan,Logistics,Series A,126.0,3005,466.0,11.32,9,Yes,No,54.0,"Python, AI",1647364
Startup_126,2013,China,Energy,Seed,18.0,4988,716.0,15.14,6,No,Yes,17.0,"PHP, Laravel",264278
Startup_127,2012,Australia,FoodTech,Series B,323.0,3800,312.0,33.15,9,No,Yes,15.0,"PHP, Laravel",553729
Startup_128,2015,USA,FinTech,Series B,120.0,589,537.0,11.0,8,No,Yes,62.0,"Node.js, React",3553321
Startup_129,2002,Canada,Gaming,Series C,93.0,3042,562.0,30.07,9,Yes,No,70.0,"Node.js, React",825322
Startup_130,2022,China,Gaming,Series C,210.0,4083,465.0,34.55,5,Yes,No,19.0,"C++, ML",2404821
Startup_131,2006,Germany,EdTech,Series C,282.0,814,757.0,10.67,1,No,No,14.0,"Node.js, React",1635486
Startup_132,2005,UK,Logistics,Seed,434.0,810,392.0,37.22,7,No,No,74.0,"Node.js, React",1796469
Startup_133,2014,Germany,Tech,IPO,106.0,1238,454.0,7.05,8,Yes,No,83.0,"Python, AI",4811853
Startup_134,2016,UK,Tech,IPO,413.0,3142,893.0,35.34,7,Yes,Yes,22.0,"PHP, Laravel",1590553
Startup_135,2000,India,E-commerce,Series A,364.0,279,428.0,36.79,3,No,Yes,54.0,"C++, ML",656788
Startup_136,2020,UK,FoodTech,Series C,157.0,2895,741.0,28.3,8,Yes,Yes,89.0,"Java, Spring",508255
Startup_137,2003,Japan,Energy,Seed,177.0,2065,561.0,32.81,1,Yes,No,53.0,"PHP, Laravel",1609421
Startup_138,2015,Germany,Healthcare,Series C,358.0,2010,623.0,42.25,1,No,No,90.0,"C++, ML",4113834
Startup_139,2018,Canada,EdTech,Series C,381.0,4646,921.0,22.08,8,Yes,No,24.0,"Java, Spring",4264548
Startup_140,2012,China,Tech,IPO,108.0,1498,856.0,18.01,7,No,No,80.0,"Node.js, React",3444413
